address_neighborhood,pricingInfos_price,predict_price,variacao
A. Pinheiros,857150.0,664886.108482172,-0.2243060042207642
Aclimação,594650.0,522132.42432407255,-0.12195001374914227
Adalgisa,840000.0,0.0,-1.0
Aeroporto,407750.0,526472.2181268899,0.29116423820205983
Agua Rasa,489999.0,0.0,-1.0
Alto Klabin,2026499.0,1202310.5298518112,-0.40670558936776613
Alto Mandaqui,258999.0,333493.5743444299,0.2876249496887242
Alto da Boa Vista,637000.0,566003.6850117962,-0.11145418365495108
Alto da Lapa,805000.0,621285.4476428964,-0.2282168352262156
Alto da Mooca,448000.0,407094.2311657765,-0.09130751971924889
Alto de Pinheiros,2310000.0,1137254.34922251,-0.5076820999036753
Alto do Pari,327250.0,0.0,-1.0
Altos de Vila Prudente,230999.0,0.0,-1.0
Americanópolis,266000.0,0.0,-1.0
Aricanduva,280000.0,292464.48942540435,0.044516033662158394
Artur Alvim,161000.0,224098.41035570164,0.3919155922714388
BROOKLIN,1133999.5,0.0,-1.0
Balneário São Francisco,186200.0,0.0,-1.0
Balneário São José,244999.0,0.0,-1.0
Barra Funda,369600.0,387014.0483244154,0.047115931613678
Barro Branco,323750.0,385994.7675678488,0.19226183032540156
Barro Branco (Zona Norte),385000.0,344422.85016589606,-0.1053951943742959
Bela Aliança,1193500.0,535085.0917352134,-0.5516672880308224
Bela Vista,355600.0,408107.5266441213,0.14765896131642653
Belenzinho,439250.0,335419.36126971553,-0.23638164765005
Belém,393464.0,336714.1022116868,-0.1442314869678375
Berrini,1399999.5,0.0,-1.0
Boaçava,1750000.0,768725.0155884846,-0.560728562520866
Bom Retiro,283500.0,394225.7701466348,0.39056709046432014
Bortolândia,406000.0,0.0,-1.0
Bosque da Saúde,581000.0,505611.21249834186,-0.12975694922832726
Brasili Ndia,18627000.0,0.0,-1.0
Brasilândia,237999.0,240311.16124139098,0.009715004018466367
Bresser,944999.0,0.0,-1.0
Brooklin,675500.0,629854.7556031678,-0.06757253056525858
Brooklin Novo,742000.0,724092.1140901337,-0.024134617129199842
Brooklin Paulista,840000.0,648588.1991582554,-0.2278711914782674
Brooklin Velho,4200000.0,0.0,-1.0
Brás,249199.0,311385.9920518749,0.2495475184566347
Burgo Paulista,244299.0,0.0,-1.0
Butanta,308000.0,0.0,-1.0
Butantã,455000.0,399295.0883381736,-0.12242837727873934
C Cesar,1638000.0,0.0,-1.0
C. P. Man. de Paiva,130199.5,0.0,-1.0
Cachoeirinha,257599.0,249765.1905900269,-0.030410868869728103
Cambuci,315000.0,364344.03487557184,0.1566477297637201
Campininha,364000.0,407722.3845868693,0.1201164411727178
Campo Belo,979999.0,877990.6885118132,-0.10409021997796608
Campo Grande,439250.0,320145.63023247325,-0.27115394369385715
Campo Limpo,216999.0,215774.48155643058,-0.005642968140726068
Campos Eliseos,213499.5,286205.7633900644,0.3405453567341583
Campos Elíseos,265930.0,314844.68588863587,0.1839382013636517
Cangaiba,241499.0,244940.39922135512,0.014250159302337195
Cangaíba,198450.0,216478.4756299682,0.09084643804468717
Canindé,489999.0,397020.87469613657,-0.18975166337862615
Capela do Socorro,315000.0,0.0,-1.0
Capital,1155000.0,822611.5526059174,-0.2877822055360022
Capão Redondo,147000.0,171130.38599298734,0.16415228566658047
Carandiru,336000.0,370766.808567047,0.10347264454478267
Casa Verde,451464.5,464402.1126236097,0.028656987700272696
Casa Verde Alta,274750.0,275625.4348232787,0.0031862959900952337
Casa Verde Média,475999.0,365393.9991437565,-0.23236393533651012
Catumbi,266000.0,325226.74174976005,0.22265692387127833
Caxingui,595000.0,422931.5761659564,-0.2891906282925103
Centro,266000.0,341475.8241451172,0.28374369979367375
Cerq Cesar,962499.0,896951.9974841701,-0.06810085258876097
Cerq. Cesar,1337000.0,986812.0281455471,-0.26192069697416065
Cerqueira Cezar,944999.0,0.0,-1.0
Cerqueira César,910000.0,822946.6028751835,-0.09566307376353467
Ch Encosto,509249.5,0.0,-1.0
Ch. Santo Antônio,1209599.5,0.0,-1.0
Chac Paraíso,553000.0,710279.3339933963,0.2844110922122898
Chac. Santo Anton,672000.0,0.0,-1.0
Chac. St Antônio,390880.0,0.0,-1.0
Chac. São Antônio,355250.0,0.0,-1.0
Chacara Do Encosto,330750.0,442690.8404484045,0.3384454737669069
Chacara Itaim,357000.0,1393293.8002902963,2.9027837543145556
Chacara Nossa Senhora Aparecida,455000.0,0.0,-1.0
Chacara Nossa Senhora do Bom Conselho,196000.0,181866.10996955622,-0.07211168382879485
Chacara Santa Maria,130899.0,161694.334558825,0.2352602736371172
Chacara Santo Antonio (Zona Le,2520000.0,0.0,-1.0
Chora Menino,420000.0,419856.10262233915,-0.00034261280395442295
Chácara Belenzinho,340571.0,307089.58101892204,-0.0983096593106223
Chácara Califórnia,353500.0,332599.06136748276,-0.059125710417304744
Chácara Cruzeiro do Sul,203000.0,255644.18580283743,0.25933096454599713
Chácara Figueira Grande,413000.0,0.0,-1.0
Chácara Flora,1445500.0,0.0,-1.0
Chácara Gaivotas,3430000.0,0.0,-1.0
Chácara Inglesa,535500.0,496739.4061145914,-0.07238206141066028
Chácara Itaim,2310000.0,1127562.8102662698,-0.511877571313303
Chácara Jaraguá,1050000.0,0.0,-1.0
Chácara Kablin,629300.0,0.0,-1.0
Chácara Klabim,647500.0,966541.245863257,0.4927277928390068
Chácara Klabin,1230145.0,968788.7795201588,-0.2124596860368828
Chácara Mafalda,444500.0,286460.35160155577,-0.35554476580077443
Chácara Maria Trindade,350000.0,0.0,-1.0
Chácara Monte Alegre,770000.0,0.0,-1.0
Chácara Nossa Senhora Aparecida,545300.0,0.0,-1.0
Chácara Nossa Senhora do Bom Conselho,196000.0,181866.10996955622,-0.07211168382879485
Chácara Nossa Senhora do Bom Conselho ,178804.5,190332.61797491874,0.06447331009520862
Chácara Santa Etelvina,124250.0,0.0,-1.0
Chácara Santa Maria,130899.0,161694.334558825,0.2352602736371172
Chácara Santana,1120000.0,0.0,-1.0
Chácara Santo Antônio,550200.0,421864.34402590466,-0.23325273713939543
Chácara Santo Antônio (Zona Leste),441000.0,407129.233408527,-0.07680445939109526
Chácara Santo Antônio (Zona Sul),693000.0,436804.21954761917,-0.3696908808836664
Chácara Santo Antônio Zona Leste,350000.0,0.0,-1.0
Chácara Seis de Outubro,301000.0,261006.176663568,-0.13286984497153487
Chácara Sto Antônio,256549.5,0.0,-1.0
Chácara São João,448000.0,251588.43159517704,-0.4384186794750512
Chácara Tatuapé,517999.5,0.0,-1.0
Cidade A E Carvalho,169809.0,0.0,-1.0
Cidade Ademar,283500.0,267632.38848101674,-0.055970411001704634
Cidade Antonio Estevão de Carvalho,311500.0,0.0,-1.0
Cidade Antônio Estevão de Carvalho,220500.0,202563.63278724873,-0.08134406899206925
Cidade Centenário,318500.0,207660.65557408967,-0.3480042211174579
Cidade Continental,259349.0,0.0,-1.0
Cidade D Abril,196000.0,0.0,-1.0
Cidade D'Abril,314999.5,0.0,-1.0
